registration_no,action_srno,action_name,date_of_action,org_name,org_name2,remarks
AYUSH/E/2019/00300,2,TRANSFER TO OTHER ORGANISATION,07-05-19,Ministry of Ayush,Ministry of Labour and Employment, ESIC is under the control of under Ministry of Labour and Employment. We may transfer the PG to the concerned Ministry.
AYUSH/E/2019/00302,2,TRANSFER TO OTHER ORGANISATION,07-05-19,Ministry of Ayush,Department of Health & Family Welfare, CGHS rates  is not under the domain of this Ministry. This relates to MoHFW.
AYUSH/E/2019/00304,2,TRANSFER TO OTHER ORGANISATION,08-05-19,Ministry of Ayush,Department of Health & Family Welfare, The issue pertains to AYUSHMAN BHARAT scheme which pertains to M/o Health & Family Welfare.
AYUSH/E/2019/00327,2,TRANSFER TO OTHER ORGANISATION,29-05-19,Ministry of Ayush,Department of Health & Family Welfare, Grievance relates to AIIMS which is not under the control of M/o AYUSH. Hence may transfer to M/o Health & FAMILY WELFARE
AYUSH/E/2019/00333,2,TRANSFER TO OTHER ORGANISATION,29-05-19,Ministry of Ayush,Department of Health & Family Welfare, Matter relates to AYUSHAMAN BHARAT scheme which is a flagship scheme of M/o Health & Family Welfare. Hence the matter may be transferred to M/o Health & Family WELFARE
AYUSH/E/2019/00336,2,TRANSFER TO OTHER ORGANISATION,29-05-19,Ministry of Ayush,Department of Health & Family Welfare, CGHS comes under the ambit of M/o Health & Family Welfare. Hence the matter may be transferred to the concerned Ministry. 
AYUSH/E/2019/00337,2,TRANSFER TO OTHER ORGANISATION,03-06-19,Ministry of Ayush,Department of Health & Family Welfare, Matter relates to AIIMS Entrance Exam which comes under the purview of M/o Health & Family Welfare.
AYUSH/E/2019/00338,2,TRANSFER TO OTHER ORGANISATION,03-06-19,Ministry of Ayush,Department of Higher Education, The matter relates to Delhi University and does not comes under the purview of this Ministry. The matter may therefore be transferred to D/o Higher Education.
AYUSH/E/2019/00341,2,TRANSFER TO OTHER ORGANISATION,03-06-19,Ministry of Ayush,Department of Health & Family Welfare, Matter relates to AYUSHMAN BHARAT which comes under the purview of M/o Health & Family Welfare. Therefore the grievance may be transferred to MoHFW.
AYUSH/E/2019/00485,3,TRANSFER TO OTHER ORGANISATION,08-08-19,Ministry of Ayush,Department of Health & Family Welfare,  May take necessary action as Ayushman Bharat relates to Ministry of Health and family welfare.
AYUSH/E/2019/00486,2,TRANSFER TO OTHER ORGANISATION,08-08-19,Ministry of Ayush,Department of Defence,  May take necessary action.as the matter pertains to MOD
AYUSH/E/2019/00504,2,TRANSFER TO OTHER ORGANISATION,19-08-19,Ministry of Ayush,Department of Health & Family Welfare,  Please take action and inform the applicant
AYUSH/E/2019/00504,4,TRANSFER TO OTHER ORGANISATION,27-08-19,Ministry of Ayush,Government of NCT of Delhi, Please take action and inform the applicant directly.
AYUSH/E/2019/00550,3,TRANSFER TO OTHER ORGANISATION,09-09-19,Ministry of Ayush,Department of Health & Family Welfare, relates to Ministry of H&FW
AYUSH/E/2019/00560,2,TRANSFER TO OTHER ORGANISATION,09-09-19,Ministry of Ayush,Department of Health & Family Welfare,  Please take action and inform the applicant
AYUSH/E/2019/00582,2,TRANSFER TO OTHER ORGANISATION,12-09-19,Ministry of Ayush,Department of School Education and Literacy,  Please take action and inform the applicant
AYUSH/E/2019/00586,2,TRANSFER TO OTHER ORGANISATION,13-09-19,Ministry of Ayush,Department of Health & Family Welfare, Please  take action and inform the applicant
AYUSH/E/2019/00588,2,TRANSFER TO OTHER ORGANISATION,17-09-19,Ministry of Ayush,Department of Health & Family Welfare, Please take action and inform the applicant
AYUSH/E/2019/00594,2,TRANSFER TO OTHER ORGANISATION,17-09-19,Ministry of Ayush,Department of Health & Family Welfare, Please take action and inform the applicant
AYUSH/E/2019/00599,2,TRANSFER TO OTHER ORGANISATION,18-09-19,Ministry of Ayush,Department of Health & Family Welfare,  Please take action and inform the applicant
AYUSH/E/2019/00606,2,TRANSFER TO OTHER ORGANISATION,25-09-19,Ministry of Ayush,Ministry of Railways ( Railway Board), Pertains to  M/O Railways
AYUSH/E/2019/00613,2,TRANSFER TO OTHER ORGANISATION,25-09-19,Ministry of Ayush,Department of Health & Family Welfare, Pertains to CGHS
AYUSH/E/2019/00617,2,TRANSFER TO OTHER ORGANISATION,25-09-19,Ministry of Ayush,Government of Bihar, Please take action and inform the applicant
AYUSH/E/2019/00617,4,TRANSFER TO OTHER ORGANISATION,30-09-19,Ministry of Ayush,Department of Defence, Pertains to Ministry of Defence
AYUSH/E/2019/00626,2,TRANSFER TO OTHER ORGANISATION,26-09-19,Ministry of Ayush,Central Board of Direct Taxes (Income Tax), Please take action 
AYUSH/E/2019/00628,2,TRANSFER TO OTHER ORGANISATION,26-09-19,Ministry of Ayush,Ministry of Railways ( Railway Board), Please take action
AYUSH/E/2019/00637,2,TRANSFER TO OTHER ORGANISATION,30-09-19,Ministry of Ayush,Department of Defence,  Please take action and inform the applicant
AYUSH/E/2019/00643,2,TRANSFER TO OTHER ORGANISATION,30-09-19,Ministry of Ayush,Government of Haryana,  Please take action and inform the applicant
AYUSH/E/2019/00643,4,TRANSFER TO OTHER ORGANISATION,03-10-19,Ministry of Ayush,Department of Financial Services (Banking Division), Please take action 
AYUSH/E/2019/00646,2,TRANSFER TO OTHER ORGANISATION,30-09-19,Ministry of Ayush,Central Board of Direct Taxes (Income Tax),  Please take action and inform the applicant
AYUSH/E/2019/00647,2,TRANSFER TO OTHER ORGANISATION,30-09-19,Ministry of Ayush,Central Board of Direct Taxes (Income Tax),  Please take action and inform the applicant
AYUSH/E/2019/00648,2,TRANSFER TO OTHER ORGANISATION,30-09-19,Ministry of Ayush,Ministry of Labour and Employment,  Please take action and inform the applicant
AYUSH/E/2019/00649,2,TRANSFER TO OTHER ORGANISATION,30-09-19,Ministry of Ayush,Ministry of Railways ( Railway Board),  Please take action and inform the applicant
AYUSH/E/2019/00657,2,TRANSFER TO OTHER ORGANISATION,30-09-19,Ministry of Ayush,Department of Posts,  Please take action and inform the applicant
AYUSH/E/2019/00658,2,TRANSFER TO OTHER ORGANISATION,30-09-19,Ministry of Ayush,Department of Telecommunications,  Please take action and inform the applicant
AYUSH/E/2019/00662,2,TRANSFER TO OTHER ORGANISATION,30-09-19,Ministry of Ayush,Department of Defence,  Please take action and inform the applicant
AYUSH/E/2019/00662,4,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Defence Finance, 
AYUSH/E/2019/00663,2,TRANSFER TO OTHER ORGANISATION,30-09-19,Ministry of Ayush,Department of Health & Family Welfare,  Please take action and inform the applicant
AYUSH/E/2019/00667,3,TRANSFER TO OTHER ORGANISATION,30-09-19,Ministry of Ayush,Central Board of Direct Taxes (Income Tax),  Please take action and inform the applicant
AYUSH/E/2019/00667,5,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Revenue,  यह मामला सीबीडीटी के दायरे में नहीं आता है। This matter does not come under the purview of CBDT.
AYUSH/E/2019/00669,2,TRANSFER TO OTHER ORGANISATION,30-09-19,Ministry of Ayush,Department of Telecommunications,  Please take action and inform the applicant
AYUSH/E/2019/00672,2,TRANSFER TO OTHER ORGANISATION,01-10-19,Ministry of Ayush,Department of Financial Services (Banking Division), Please take action and inform the applicant
AYUSH/E/2019/00676,2,TRANSFER TO OTHER ORGANISATION,01-10-19,Ministry of Ayush,Central Board of Indirect Taxes and Customs, Please take action and inform the applicant
AYUSH/E/2019/00678,3,TRANSFER TO OTHER ORGANISATION,01-10-19,Ministry of Ayush,Ministry of Housing and Urban Affairs, Please take action and inform the applicant
AYUSH/E/2019/00681,2,TRANSFER TO OTHER ORGANISATION,01-10-19,Ministry of Ayush,Central Board of Direct Taxes (Income Tax), Please take action and inform the applicant
AYUSH/E/2019/00683,2,TRANSFER TO OTHER ORGANISATION,01-10-19,Ministry of Ayush,Department of Telecommunications, Please take action and inform the applicant
AYUSH/E/2019/00686,2,TRANSFER TO OTHER ORGANISATION,03-10-19,Ministry of Ayush,Department of Defence, Please take action
AYUSH/E/2019/00687,2,TRANSFER TO OTHER ORGANISATION,03-10-19,Ministry of Ayush,Department of Telecommunications, Please take action
AYUSH/E/2019/00689,2,TRANSFER TO OTHER ORGANISATION,03-10-19,Ministry of Ayush,Ministry of Railways ( Railway Board), Please take action
AYUSH/E/2019/00690,2,TRANSFER TO OTHER ORGANISATION,03-10-19,Ministry of Ayush,Department of Telecommunications, Please take action
AYUSH/E/2019/00691,2,TRANSFER TO OTHER ORGANISATION,03-10-19,Ministry of Ayush,Department of Financial Services (Banking Division), Please take action
AYUSH/E/2019/00692,2,TRANSFER TO OTHER ORGANISATION,03-10-19,Ministry of Ayush,Department of Health & Family Welfare, Please take action
AYUSH/E/2019/00697,2,TRANSFER TO OTHER ORGANISATION,03-10-19,Ministry of Ayush,Department of Health & Family Welfare, Please take action
AYUSH/E/2019/00701,2,TRANSFER TO OTHER ORGANISATION,03-10-19,Ministry of Ayush,Ministry of Labour and Employment, Please take action
AYUSH/E/2019/00702,2,TRANSFER TO OTHER ORGANISATION,03-10-19,Ministry of Ayush,Ministry of Railways ( Railway Board),Please take action
AYUSH/E/2019/00709,2,TRANSFER TO OTHER ORGANISATION,04-10-19,Ministry of Ayush,Department of Telecommunications,  Please take action 
AYUSH/E/2019/00711,2,TRANSFER TO OTHER ORGANISATION,04-10-19,Ministry of Ayush,Ministry of Labour and Employment,  Please take action 
AYUSH/E/2019/00712,2,TRANSFER TO OTHER ORGANISATION,04-10-19,Ministry of Ayush,Ministry of Railways ( Railway Board),  Please take action 
AYUSH/E/2019/00713,3,TRANSFER TO OTHER ORGANISATION,04-10-19,Ministry of Ayush,Department of Higher Education,  Please take action 
AYUSH/E/2019/00714,2,TRANSFER TO OTHER ORGANISATION,04-10-19,Ministry of Ayush,Department of Higher Education,  Please take action 
AYUSH/E/2019/00716,3,TRANSFER TO OTHER ORGANISATION,04-10-19,Ministry of Ayush,Department of Defence,  Please take action 
AYUSH/E/2019/00719,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Ministry of Home Affairs, Please take action
AYUSH/E/2019/00720,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Defence, Please take action
AYUSH/E/2019/00721,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Health & Family Welfare, Please take action
AYUSH/E/2019/00722,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Telecommunications, Please take action
AYUSH/E/2019/00723,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Telecommunications, Please take action
AYUSH/E/2019/00727,3,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Financial Services (Banking Division), Please take action
AYUSH/E/2019/00729,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Ministry of Petroleum and Natural Gas, Please take action
AYUSH/E/2019/00730,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Ministry of Petroleum and Natural Gas, Please take action
AYUSH/E/2019/00732,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Posts, Please take action
AYUSH/E/2019/00734,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Posts, Please take action
AYUSH/E/2019/00737,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Ministry of Railways ( Railway Board), Please take action
AYUSH/E/2019/00740,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Central Board of Direct Taxes (Income Tax), Please take action
AYUSH/E/2019/00745,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Government of Tamil Nadu, Please take action
AYUSH/E/2019/00745,3,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Justice, Please take action
AYUSH/E/2019/00746,3,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Higher Education, Please take action
AYUSH/E/2019/00751,4,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Ministry of External Affairs, Please take action
AYUSH/E/2019/00754,2,TRANSFER TO OTHER ORGANISATION,10-10-19,Ministry of Ayush,Department of Financial Services (Banking Division), Please take action
