registration_no,subject_content,action_name,date_of_action,org_name,org_name2,remarks,id
AYUSH/E/2019/00300  ,Sir        The ESIC dispensary in Jangpura new delhi is not working properly. The doctors not treated to patients they always chat with other staff for hours and hours. Sir please do something so that we can save our time please.,TAKEN UP WITH SUBORDINATE ORGANISATION,12-05-19,ESIC Headquarters,Directorate Medical Delhi, Please respond to the grievances raised herein within * days,2
AYUSH/E/2019/00302  ,Sir   It is submitted that Bhagat Chandra Hospital Near Mahavir Enclave New Delhi-****** is giving facility of Pathological Tests in collaboration with Max Lab. Max Lab is providing CGHS rate for central government employees. However Bhagat Chandra Hospital is denying for some tests at CGHS rate stating that our software is different and showing CGHS rate. It is requested to look into the issue and do the needful.Thanking you sir. U S Bhagat AODelhiCont No. **********,TAKEN UP WITH SUBORDINATE ORGANISATION,08-05-19,Director CGHS,CGHS Delhi, ,4
AYUSH/E/2019/00304  ,Dear SirI am writing on the behalf of Bindu Soni and her husband  Vijay Kumar.We are undergoing treatment in Tata Memorial Center hospital Parel Mumbai.Initial reports suggest it is a cancer but later it was not detected as Cancer.Doctor suggest Robotic VAT* thymoma excism but Ayushman Bharat mitra says it is not covered under Ayushman bharat scheme.It would be covered if there is a open heart surgery.I am writing to you because In my all sense It should be covered for under Ayushman bharat scheme as it is not cosmetic surgery it is meant for livelyhood of poor.Sir For the poor I wish you to intervene into this matter and suggest what to do next. I seek your help and enclosing all documents.Expected date of surgery is **th of this month.Patient Name: Bindu DeviHusband Name: Vijay KumarHospital Name: Tata Memorial Hospital Parel MumbaiHospital Case Number: CS/*****Year Of Birth : ****Gender: FemaleAyusman Bharat Id:  BB*K*Z*TU,TAKEN UP WITH SUBORDINATE ORGANISATION,10-05-19,Director B.N.,State Health Agency Jharkhand, Please take necessary action.,6
AYUSH/E/2019/00327  ,COMPLAINT AGAINS AIIMS STAFF AND FOR SOME  HELP FROM PRIME  MINISTER.KINDLY INVESTIGATE BELOW MENTIONED REFERENCE NO FOR FURTHER ENQUIRY,TAKEN UP WITH SUBORDINATE ORGANISATION,30-05-19,Health and Family Welfare,all india instt of medical sciences, ,8
AYUSH/E/2019/00333  ,Dear Sir               My self Ashish kumar Jain from uttar pradesh my younger brother wife Ekta Jain Last week not feeling well he goes along with her wife to Bareilley  for treatment In Clara swain mission hospital Civil lines Bareilley uttar pradesh his wife having card for ayushman at the time of admission hospital and there ayushman staff denied to take admission as per ayushman and they insist pl deposit ***** rupees or go anywhere with patient the condition is not good for patient her baby tube is bust and almost **  of blood is discharged any how they admitted with ***** rupees and with in * hour they operated patient next day around ** o clock they came us and told now i can cover under ayushman and latter on they didnot charge any rupees pl look in to the matter and take it seriously last week our prime minister told they will provide more facility for ayushamn but ground report is different for that your interruption required ThanksAshish kumar jain********************,TAKEN UP WITH SUBORDINATE ORGANISATION,30-05-19,Director B.N.,SHA- Uttar Pradesh, please take appropriate action in this regard ,10
AYUSH/E/2019/00336  ,Siub : Complaint against Mis behavior by Mr Jagdeep at CGHS Kingsway CampDear SirThis my *nd complaint regarding gross inefficiency and unacceptable rude behaviors of staff at CGHS dispensary Kingsway Camp. On my *st complaint made to CGHS Director no action was taken   hence staff is at their full zeal to keep on threatening  misbehaving with public at large*. Today morning I approached the registration counter for taking appointment about my son and myself for Ayurveda consultation. The person on duty was Jagdeep. *. I was carrying color print out of online cards available at CGHS website which clearly mentioned that these cards are acceptable  ( I have recently lost my cards so due to urgency i took print out of card and presented at the counter) *. Jagdeep refused to accept these cards and threw it back to me stating that these are not acceptable and on explaining him the situation he said  You could be  fraudster .. he asked me to explain who signed these cards.. why he should accept this. I explained him the website remarks on which he started mis behaving and said  GO TO THE CGHS DIRECTOR WHO SIGNED THESE CRDS AND ASK HIM TO CALL ME ...ASK HIM TO GIVE ME SCANNER *ST USING WHICH I CAN READ  UR  ON CARD ETE ETC .  His tone and words were humiliating .  He even said take my name  Jagdeep  and do complaint to HO..I know how to manage them  . .......i kept on saying that my son is not well and he should accept these cards but he kept on  behaving arrogantly  mis behaved in front of public who was in line . Finally after repeated round of request he accepted but commented   you are a fraudster and threw back cards to me *.  I brought the incident to knowledge of CMO Mrs Bali  who just said   ill look into the matter .  I was expecting at least she should have taken some action or even summoned the concerned person but nothing happened. It seems that we are at mercy of CGHS staff and the way they behave is something which is beyond comprehension . We are not paying for the facility to face such things from the staff... I immediate demand action on my complaint and strict action should be initiated against the erring staff mentioned in my complaint. How can public servant use such humiliating  derogating remarks against public and can ignore his official duties.  Also I demand detailed report on my *st complaint and what action was taken against erring staff at that time It seems until unless CGHS HO department take concrete action these episodes would continue to happen,TAKEN UP WITH SUBORDINATE ORGANISATION,31-05-19,CGHS Delhi,CGHS Office East Zone,  Please look into the matter.,12
AYUSH/E/2019/00337  ,I HAVE THREE TIMES REQUESTED TO AIIMS DELHI FOR CORRECTION IN CATEGORY OF MY WARD IN AIIMS **** ENTRANCE EXAMS BUT TILL DATE AIIMS IS NOT REPLYING IN PAS ALSO AIIMS ATTITUDE IS NOT GOOD/POORWHILE NTA NEET HAS GIVEN CHANCE TO THE MBBS ENTRANCE EXAMS **** CANDIDATES FOR ONLINE CORRECTION IN LIMITED ENTRIES THIS YEARKINDLY INSTRUCT AIIMS DELHI AUTHORITES TO DO THE NEEDFUL AS THEY ARE UNDER YOUR JURIDICTIONFURTHER ALSO TEACH THEM HOE TO RESPOND ON PUBLIC RELATED MATTERS,TAKEN UP WITH SUBORDINATE ORGANISATION,03-06-19,Health and Family Welfare,all india instt of medical sciences, ,16
AYUSH/E/2019/00338  ,Dear Sir I would like to draw your kind attention towards CURSE being born by BAMS degree holders (prior to **** batch) of Delhi University. Criteria to get first division in all courses in entire country is ** percent while it is ** percent only in case of BAMS degree holders from Delhi University. So person who got even above ** percent is considered as second division (copy attached). After **** amendment this criteria for getting first division has been revised but only for those who are passing out after **** (copy attached). So those who passed out before **** are still bearing the pain as in many recruitment processes first degree plays an important role which can be seen in Delhi University adhoc panel recruitment (copy attached).Secondly BAMS degree does not come under any classification viz Science Commerce Arts Medicine Engineering etc. I hope you will look into the matter as persons from same college and same university cannot have different divisions for same marks. Warm regards Amit Kapoor,TAKEN UP WITH SUBORDINATE ORGANISATION,06-06-19,CU-1 Division,University of Delhi,  Registrar University of Delhi is requested to look into the matter and take appropriate action as per rules.  A suitable reply may also be given to the petitioner in the CPGRAMS portal.,18
AYUSH/E/2019/00341  ,सेवा में श्रीमान  महोदय हम प्रार्थी को अल्सरेटिव कोलाइटिस है जिसका इलाज बहुत महंगा है दवा जीवन भर चलानी है दवा काफी महंगी हो के वजह से प्रार्थी बहुत परेसान है प्रार्थी के पास  आयूष मान कार्ड भी है लेकिन कार्ड का लाभ नही मिल पा रहा है अतः आप श्रीमान जी से सादर अनुरोध है कि प्रार्थी  ईलाज करवाने  कि कृपा करे,TAKEN UP WITH SUBORDINATE ORGANISATION,10-06-19,Director B.N.,SHA- Uttar Pradesh, please take appropriate action in this regard ,20
AYUSH/E/2019/00485  ,Dear SirMera naam Amit Thapliyal hai. Hum log Ayush card se nahi covered hai kyuki delhi mai rehte hai.  Meri mother Sudha Devi ** yrs Age. Blood Cancer se diagnosis hai and condition bahot critical hai and unko medical treatment mai ki jarurat hai urgent.Mai ek lower middle class family se belong karta hu aur hamari financial condition ab aisi nahi hai ki hum Sir Ganga ram mai treatment le sake. Ganga ram registration no.******* hai.Need support taki hum unka treatment AIIMS mai karwa sakte aur unko ek bed mil jaya. Ya govt of india and Health ministry Ganga Ram mai financial support kar de.Mai maafi mangna chahta hu ki maine apni maa ka dyaan sahi se nahi rakha hai but im trying so hard and hum log office bi nahi ja rahe hai sirf unka dyaan rakh rahe hai. Please hum logo ko kuch suggest and advice kare please,TAKEN UP WITH SUBORDINATE ORGANISATION,08-08-19,Department of Health & Family Welfare,Grnts Division, ,22
